Review,Type
হ্যালো আসসালামু আলাইকুম আপনারা বলতে পারেন আমি একজন ফুড লাভার ঘোরাফেরা খাওয়া দাওয়া আমার একটাশখের ব্যাপার আমার ধানমন্ডিতে ম্যাক্সিমাম রেস্টুরেন্টে চেক ইন দেওয়া শেষ।আজকে  আমার দুইটা ফ্রেন্ড এবং আমি গিয়েছিলাম Olivia Dhanmondi রেস্টুরেন্ট।  Today has been a frustrating day for us আমার লাইফে এত বাজে খাবার এত বাজে সার্ভিস জীবন পাই নাইআমার টাকাগুলাই নস্ট করলাম আমি মোটামটি অনেক জায়গাই যাই But এটা আমার লাইফ এর ১ম রিভিউ। রিভিউ টা দিতাম না আমি চাই না মানুষ এর টাকা গুলা নস্ট করুক।  আমরা নিয়েছিলাম :1: Special  ChowMin আল্লাহ এত বাজে 05/10 2: Lime Soda : 07/10  Like good 3: B.B.Q Wings: Life er Sob ceye Faltu wings kheyeci atai : 04/10 4: white cream Pasta : 07/10 Drinks : Manual 09/10 cold good cilo Bill : Niche pic diyeci Location : OLIVIA  Dhanmondi KB Square Service : 03/10 totally Faltu Service customer service na diye Adda dei Dhanmondi 1st time kono baje Restaurant pelam tarpor abr Amr khub pochonder Place:  Ranks Kb square Totally aj ker dinta Khub krp giyece sudu gorom r ei restaurants Jonno  Thanks Everyone And sorry Everyone Na pere Review ta diyeci ami ,bad
"যারা ড্রিংকস লাভার তারা Farzi Cafe, Gulshan 1 Circle এ ট্রাই করতে পারেন। আমি প্রথম বার গিয়ে ওদের আপেল জুস দিয়ে করা একটা ড্রিংক আর বাটার চিকেন দেয়া বার্গার নিয়েছিলাম। ফুড টেস্ট, প্রেজেন্টেশন সব ই বেশ ভাল ছিল। এক্সিকিউটিভ দের ব্যবহার ও অনেক ভাল ছিল। আমি ফুড ব্লগার নাহ, ভালভাবে এইসব বলতেও পারি নাহ। কিন্তু ফুড ব্যাংক এ গুলশান বনানীর কিছু সহজে খুজে পাই নাহ। তাই আমার অভিজ্ঞতা শেয়ার করলাম। আশাকরি যারা গুলশান বনানীর দিকে থাকেন তাদের জন্য হেল্প হবে। ",very good
"Masala Tikka Sizzling Chomwien(1:3) 90tk Discount , Price : 400tk Taste : 9/10 অনেক ভালো লাগছে। টিক্কা গুলো বেশি ভালো লাগছে। Sizzling Chicken (1:3) Price : 400tk Taste : 10/10 অনেক অনেক জায়গায় সিজলিং চিকেন খেয়েছি বাট এখানেরটাই সেরা। Location : 8/1 Rankin Street Wari,Just opposite to shawpno.Rooftop smoking zone and couple zone available.",very good
"ফেসবুক এ সবার পোস্ট দেখে দেরি না করে চলে গেলাম #FlavoursOnFire নাম করা অনেক রেস্টুরেন্ট দিয়ে সুসজ্জিত হয়ে উঠেছে তার মাঝে অন্যতম  একটি  Lebanese  ফুড  এর সমাহার নিয়ে #JalapenoCafe Lebanese যারা  Healthy Food  চান ,সাথে ডিফারেন্ট টেস্ট চান ,তাদের জন্য বলবো এক বার ট্রাই করে দেখতে পারেন.আমার কাছে খুবই ভালো লেগেছে . দাম ও হাতের নাগালে ,এত দিন তো অনেক ধরণের শার্মা খেয়েছে সবাই, এই শার্মা যেমন Health  জন্য ভালো তেমনি সুস্বাদু Chicken Shawarma Markok Price-280 tk only. Test: 10/9 Behaviour -10/10",very good
শুক্রবার আমাদের  আমাদের  গেট টুগেদার ছিল।।  মিরপুর ১ নাম্বার #Bangladesh_eye_Hospital এর বিপরীতে   #TheEatalia #restaurant এ।।  ওখানে গিয়ে  আমাদের  সকলে মন আনন্দে ভরে  গেল।। অনেক  মজার  সময়  কাটিয়েছি। খুব সুন্দর  সাজানো গোছানো।  খাবারের  টেস্ট  অতুলনীয়।।  আমরা অনেক এনজয়  করেছি। Environment -10/10Food Test -10/10আরও বিস্তারিত ভিডিওতে দেখতে পারবেন। ,very good
"আগের দিনের সুন্দর একটা রিভিউ দেখে গিন্নী কে নিয়ে গিয়েছিলাম বিবাহবার্ষিকী তে খাওয়াবো বলে।  খাবারের ডেকোরেশন টা চমৎকার ছিলো। রেস্টুরেন্টের ওউনার Md. Al Myain  ভাই খুবই অমায়িক, হাসিখুসি মানুষ, বিল পে করতে গিয়ে যখন জানতে পারলো আমাদের বিবাহবার্ষিকী,  তখন কিছুক্ষণ বসতে অনুরোধ করলেন, দেখি ফ্রেঞ্চ ফ্রাই নিয়ে হাজির। বললেন আমাদের পক্ষ থেকে এটা একটা ছোট্ট গিফট ভাইয়া। দাম বিরিয়ানির স্বাদ খুবই ভালো ছিলো, দামটাও রিজনেবল,  মাত্র ১৯০/- প্লেট, ভিতরে মাংসের আধিক্য ছিলো বেশি।",very good
"#ফ্রি_ডেলিভারি #pizzaburg Foodbank এ Pizzaburg  এর BBQ MEAT MACHINE নিয়ে এত্তো positive review যে, try না‌ করে পারলামই‌না। বাসার সবার জন্য অর্ডার করে নিলাম দুর্দান্ত এই পিজ্জা । আসলেই ওদের পিজ্জার জুড়ি মেলা ভার।Reasonable price এর মধ্যে quality প্রশংসনীয় পিজ্জায় সবকিছুর কম্বিনেশন ছিল পার্ফেক্ট। ইফতারে তৃপ্তি সহকারে খাওয়ার জন্য বেস্ট এন্ড হেলদি পিজ্জা। রেটিংঃ ১০/১০ ",very good
"ফ্রিজ্জা মোহাম্মদপুর যাদের চিন্তাপ্রসূত তাদের আমি পারসোনালি চিনি। তারা সবাই কলেজ থেকে ফ্রেন্ড। এখন পড়ালেখা বুয়েট, ঢাবিতে প্রায় শেষের দিকে। এরা প্রত্যেকে ব্যক্তিগত জীবনে এক একজন পারফেকশনিস্ট। যেকোনো প্রজেক্টে নামার আগে তা নিয়ে আগা-গোড়া স্টাডি করে, ব্রেইনস্টোর্মিং করে তারপর সব গোছানো মনে হলেই সেই প্রজেক্ট হাতে নেয়। আমার সুযোগ হয়েছিলো ফ্রিজ্জার শুরুতে শেফ সিলেকশন, ফুড টেস্টিং এর সময় কাছ থেকে সব দেখার। পুরো এক মাস সময় নিয়ে সবকিছু পার্ফেক্ট হওয়া পর্যন্ত লেগে থাকতে দেখেছি উনাদের। ",very good
Pizzaburg কেউ এখন চিনে না এমন মানুষ হয়তো খুব কম ই আছে। সেই সুবাদে চলে গেলাম তাদের pizza Try করতে। তাদের মেনুর আগের পিৎজা try করেছি বেশ কয়েকবার তাই নতুন আইটেম try করলাম। #meat_masala পিৎজা এতে ১২ ধরনের toppings তারা ব্যবহার করেছে। পিৎজা তে টপিং এর কোনো কমতি নেই টা ছবি দেখলেই বুঝা যায়। Cheese er quantity o বেশ ভালো। ওভার অল বেশ ভালো একটা পিৎজা reasonable price এ এই পিৎজা সবার খাওয়ার জন্যে উপযোগী। Item: meat masala Price: 385 tk Rating: 9/10,very good
"আসসালামু আলাইকুম খিলগাঁও এখন ফুড শপ আর রেস্টুরেন্টের ছড়াছড়ি।তবে এত এত রেস্টুরেন্টের ভিড়ে কিছু রেস্টুরেন্ট কিন্তু ঠিকই খাবারের মান ও স্বাদে পর্যটকদের মনে জায়গা করে নিয়েছে। এগুলোর মধ্যে আমার অনেক পছন্দের একটি প্লেস হলো Gold On 7 রেস্টুরেন্ট।ওভার-অল আমার কাছে ভালো লেগেছে।টেস্ট যেমন ভাল ছিল, তেমনি জায়গাটাও ছিল মনোমুগ্ধকর আর  উনাদের ব্যবহার আরো বেশি ভালো ছিল আপনারা ও ট্রাই করে দেখতে পারেন ",good
ফ্যামিলি নিয়ে সীমিত আকারে বেড়ানোর জন্য বেস্ট একটা জায়গা। পরিবেশটা এতো সুন্দর ! আর খাবারের দাম বেশী হলেও খাবারের টেস্ট খুব ভালো । ৪ ঘন্টা ছিলাম । এন্ট্রি ফী পার পার্সন ২০০ টাকা । আমরা ৭ জন গিয়েছিলাম । ৫ বছরের কম শিশুর জন্য এন্ট্রি ফী ফ্রি। সর্বমোট খরচ ৫০০০ টাকা ৭ জনের । শুধু খাবার খরচ ৩৭৪২ টাকা আমরা মেইনলি পরিবার নিয়ে একটু ঘুরতে চেয়েছিলাম সুন্দর পরিবেশে কম সময়ে । খাওয়াটা মেইন টার্গেট ছিলো না। আর খাবারের ছবিগুলো তাড়াহুড়ো করে তোলা তাই ওতো ভালো হয়নি । কারো কাছে অনেক খরচ মনে হলে যাবেন না কিন্তু কেউ বাজে মন্তব্য করবেন না দয়া করে । আমাদের কাছে সময় কাটানোর জন্য খুব ভালো লেগেছে তাই আমি মনে করি it’s really worth it . তবে নেগেটিভ দিক শুধু এটাই যে ওরা ভ্যাট প্রতিটা খাবারে আলাদা করে যোগ করেছে । এই দিকটা বাদ দিয়ে সবকিছু ভালো ছিলো,good
"তাদের মেন্যুর মধ্যে ""Spare Ribs"" নিঃসন্দেহে সবচেয়ে ভালো আইটেম মনে হয়েছে। সাইড ডিশ ২টা নেওয়ার অপশন ছিল, সি ফুড রাইস আর ক্রিম ভেজিটেবল নিয়েছিলাম। সি ফুড রাইসের টেস্ট ভালো ছিল, তবে প্রণ ফ্রাইড রাইস নাম দিলেই ভালো হত। কারণ সি ফুড হিসেবে শুধু প্রণই ছিল। সাথে দুই রকমের সস নেওয়া যায়, গার্লিক আর মেক্সিক্যান সস ভালো লেগেছে।লাভা কেক এর সাথে আইসক্রিমের কম্বিনেশন ভালো ছিল। আমি সাধারণত ব্রাউনি এর সাথে আইসক্রিম এর কম্বো প্রেফার করি, তবে লাভা কেকও হতাশ করে নি।ওভারল, আমার মতে এখানে গেলে ""Spare Ribs"" মাস্ট ট্রায় আইটেম।",very good
"হ্যালো, আমার এমনিতে বেশ ভালই বুফেতে যাওয়া হয়েছে। ফেসবুকের পোস্ট এর মাধ্যমে জানতে পারলাম মিরপুরের মধ্যে আরও একটি বুফে ওপেন করা হয়েছে। আমরা গিয়েছিলাম ডিনার এ। এখন আসি খাবারের কথায়। খাবার এর কথা বলতে গেলে প্রথমেই বলতে হয় যে খাবার গুলো ছিলো খুব ফ্রেশ আর গরম। আর খুব বেশি মজা, চাইনিজ ফ্লেভার আসছিলো। তাদের Appetizer Item অনেক ছিলো। স্যুপ এ খুব বেশি পরিমানে chicken and prawn ছিলো। Appetizer ২ টা item good ছিলো। ফ্রাইড রাইস আমার অনেক পছন্দ। অ্যান্ড যেটা সব থেকে ভালো লেগেছে সেটা হলো ফ্রাইড রাইস।স্বাদ থাকে এমন রাইস কম ই পাওয়া যায় বুফেতে। বেশ কিছু আইটেম আমার ট্রাই করা হয় নি। কিন্তু যেগুলো ট্রাই করেছি অনকে বেশি ভালো লেগেছে। এতো মজা কেনো! তাদের কিছু করিয়ান ফুড ও আছে দেখলাম। অহ! তাদের Appetizer এর সব চেয়ে মেইন আকর্ষণ ই তো বলা হয় নি। 😯মোমো।।। এতো মজা ছিলো। তাদের Desert এর মাঝে পায়েস, ক্যারামেল পুডিং, জরদা, আমার কাছে ভালো লেগেছে। তাদের আনলিমিটেড Drinks তিন/ চার রকমের ছিলো। আর কফি ছিলো। সব মিলিয়ে আমার অনেক ভালো লেগেছে, কারন শুধু খাবার ই না তাদের Restaurant এর পরিবেশ অ্যান্ড Behaviour অসাধারন ছিলো। ",very good
ধানমন্ডি তে এই নাগা ড্রামস  নিয়ে অনেক মাতামাতি চলতেছে ফেসবুকে সকল পোস্ট জুরেই Chillox  এর এই নাগা তাই লোভ সামলাতে না পেরে চলেই গেলামNaga Drums: চিলক্সের মাস্ট ট্রাই একটি আইটেমের মধ্যে একটি  লেগ পিস টার অপরে ছিল একটি আবরন আর এটিই মুলত ঝালের রহস্য ভিতরের অংশ টা মোটামোটি জুসি ছিল আর সফট ছিল যারা ঝাল পছন্দ করেন তাদের কাছে ঝালের পরিমান টা পারফেক্ট কিন্তু নাগা লাভারসদের জন্য আহামরি নাগা লাগবে না কিন্তু টেস্ট এর কোনো কমতি হবে না,very good
Food Bank এর Review দেখে চোলে গেলাম chief's cuisine আর কোপ মেরে আসলাম 99 😍এর offer #Chiefs cuisine এ যেটাই নিয়েছি সেটাই 99 আর যদি বলেন খাবারের রেটিং কতো দিবেন তাহলে আমি দিবো ৮/১০,very good
এটি কেবল একটি ব্যক্তিগত পর্যালোচনা। জিভ টিজার থেকে চুরি মুকুট অর্ডার। জায়গাটি আমার জায়গার কাছাকাছি না থাকায় আমি বার্গারের রসালো সম্পর্কে কনসার্ট করেছি। তবে বার্গারটি সরস এবং পয়েন্টে স্বাদযুক্ত। টমেটোর চামড়া এবং জলপিনো থেকে সংযুক্ততা (যোগ করা) প্যাটি (200gm তারা যেমনটি বলেছিল) এবং ব্রোচ বানের সাথে পুরোপুরি মিশ্রিত হয়েছে।,very good
"কাচ্চি ডাইন, দেখলাম উদ্বোধন উপলক্ষে ৩০% ডিসকাউন্ট দিচ্ছে তাই কিছু বন্ধুবান্ধব মিলে চলে গেলাম নতুন কাচ্চির স্বাদ নিতে। তো গিয়ে সেখানে কাচ্চির স্বাদটা তো নিলামই সাথে নিলাম রোস্ট, টিকিয়া ও বোরহানি। একটু মাংস নিয়ে রাইসটার সাথে মুখে দেওয়ার সাথে সাথেই বুঝলাম তাদের ট্যাগলাইনটা একদম যথার্থ, কাচ্চির সম্রাট। তবে বোরহানিটা আরো ভাল  হতে পারত​। কাচ্চি: ১০/১০(কাচ্চিটা এত ভাল ছিল যে আমার ২০/১০ দিতে মন চাচ্ছে।) রোস্ট​: ৮.৫/১০ বোরহানি : ৬.৫/১০ টিকিয়া : ৮/১০",very good
"Food bank এ fire and forks এর এত review দেখে নিজেকে আর আটকাতে পারিনি। ডেমরা থেকে মিরপুর এর পথ পাড়ি দিলাম।যা যা অর্ডার করলাম👇BBQ chicken (550 tk ) : এটা আমার try করা best আইটেম । You must visit Fire & Forks  atleast once  to taste it 😋 এটার সাথে ছিল potato wadges ঐটা খুব ই মজা ছিল।Hawaiian Burger (520 tk ) : খুব ই different taste, beef patty টা খুব জুসি ছিল । বান টা সফট এন্ড ফ্রেশ ছিল।Crispy chicken tenders (220 tk) : being a chiken lover এটা আমার খুব বেশি ই ভালো লাগসে। মাস্ট ট্রাইSkinny fries (125 tk) : it's good । Potato আমার always ই favouriteTummy calmer (240tk) : it's very refreshing , এই গরমে এমন একটা ড্রিঙ্কস থাকলে ভালোই হয় বি: দ্র: আমার মত photofreack যারা আছো তাদের বলবো must go, তাদের interior টা অনেক বেশি সুন্দর । স্টাফ দের behavior ও অনেকে ভালো ছিল।",very good
"খাইদাই.কমের রিভিউ দেখে গিয়েছিলামThe Great Kabab Factory Bangladesh এ।দেশের মধ্যে অথেনটিক ইন্ডিয়ান ফুডের খোজে যারা আছেন,তারা এখানে না আসলে মিস করবেন। তাদের টেবিল বাফেট প্রতি রবিবার থেকে বুধবার পর্যন্ত থাকে। বসার সাথে সাথেই স্মার্ট  ম্যানেজার ভাইটি রিসিভ করলেন,ভেজ না নন-ভেজ খাবো জিজ্ঞাসা করলেন। এরপরে শুরু হলো টেবিলে স্টার্টারস এবং কাবাব আইটেম সার্ভিং।প্রত্যেকটি আইটেম ছিলো চমৎকার,বারবার ট্রাই করার মত।",very good
"Foodbank এর রিভিউ দেখেই এই প্ল্যাটার টা ট্রাই করতে এসেছিলাম। ফ্রাইড রাইস, চিকেন ললিপপ সব কিছুর টেস্ট ই খুব ভালো লাগছে। চিকেন চিলি ওনিয়ন এর টেস্ট টা সবার কাছেই মোটামুটি ভালোই লাগছে। no complain here.পিৎজা টা এর আগেও অনেক বার ট্রাই করেছি। চিজি একটা পিৎজা, শুধু পিৎজার পারসোনাল রেটিং দিতে হলে i would say 9.5/10",very good
"সিরাজ চুই গোশ এর প্রায় রিভিউ দেখি আজকে চোখের সামনে পরল ,ক্ষুদাও লাগছিল তাই আর লোভ সামলাতে পারলাম না।তাইতো চলে গেলাম Shiraj ChuiGosto আহা কি টেস্টি যে চুই গোশটা লাগছে মাত্র ১৯০ টাকায় এত কিছু চুই ,মাংস আর সাথে বড় বড় রসুন স্বাদ আরো বাড়িয়ে দেয়।ভাত ছিল মাত্র ২০টাকায় সাথে ঘি ও ছিল।খাবার শেষে একটু মিষ্টিমুখ করলাম মোট কথা সেরা একটা দিন গেল।লোকেশন-সিরাজ চুইগোশ ,মিরপুর ১০।",very good
Foodbank এ রিভিউ দেখে #kudos এর এত লোভনীয় লাগছিল। নিজেকে আটকে রাখতে পারলাম না চলে আসলাম #ওয়ারী ব্রাঞ্চ মাশরুমের সাথে চিকেন চিপার এত সুন্দর কম্বিনেশন ঘটিয়ে বার্গার #kudos না খেলে আমি বুঝতেই পারতাম না আর চিকেন টেন্ডারসে তো #kudos এই বেস্ট,very good
"রিভিউ দেখে আজকে ফার্স্ট Sumoku তে গেলাম ওদের BUY 1 GET 2 অফারে। এমনিতেই মিরপুরে জাপানিজ খাবারের নাম শুনে মুখে পানি চলে আসছিলোএই টাইপের ফুড মেনু মিরপুরে দেখা যায় না( somuko বাদে)। অনন্য যেসব এরিয়া গুলোতে পাওয়া যায় সেখানে খাবারের দাম অনেক বেশি। Sumoku তেই দেখলাম প্রাইস রিজনেবল + Buy1 Get 2 offer.এক বান্ধবী গতকাল এসে তার পারসোনাল রিভিউ শেয়ার করলো, আজকে নিজেই সেটা এক্সপেরিয়েন্স করলাম।Hong Kong Fried Chicken অর্ডার করেছিলাম, এটার সাথে Special Fried Rice এবং Soft Drink ফ্রী পাইসি.Fried chicken টা আমার খাওয়া one of the best গুলোর কাতারে থাকবে। gravy একটা ফ্লেভার ছিলো যেটা পুরাই Mouth watering. Fried rice টাও ছিলো ঝরঝরা। আমার কাছে পারসোনালি ওদের খাবার ভালোই লাগছে।",very good
অনেক রিভিউ দেখলাম #Fouco এর তাই আমিও চলে এলাম খাবার এর টেস্ট নিতেখাবার গুলা আসলেও যেমন বলা হয় তার থেকে বেশি মজা হয় এন্ড পরিমান ও অনেক বেশি থাকে Classic Cold Coffe আর Mango Boost ছিল খুব মুখরোচক ,good
আসসালামুআলাইকুম...আমি সচরাচর রিভিউ পোস্ট দেইনা কিন্তু আজ আসলাম একটি রিভিউ পোস্ট নিয়ে...একেকজন এর টেস্টবাড ভিন্ন সেক্ষেত্রে পুরো রিভিউ টি আমার নিজস্ব টেস্ট এর আলোকেই করা এটি একটি ফুডকোর্ট যেটি সীমান্ত সম্ভার এর ৯ম তলায় অবস্থিত..খুবই সুন্দর পরিষ্কার পরিচ্ছন্ন পুরো জায়গাটি...ধানমন্ডি লেকভিউ দেখা যায় খুব সহজেই.নামঃ Thai Beans লোকেশনঃ সীমান্ত সম্ভার এর ৯ম তলা আইটেমঃ ১/ Chicken Prawn mixed fried rice (1:2)- 199 tk ২/ Chicken chilli paste (1:1)- 199 tk 3/ Drinks- 40 tk (per glass) প্রথমত মিক্সড ফ্রাইড রাইস যেটা সেটা ওয়েল কুক ছিল....কোয়ান্টিটি যা ছিল দুইজন মানুষ অনায়াসেই খেয়ে ফেলতে পারবে....সাথে প্রন থাকায় টেস্ট টা আরও বেশি ভালো লেগেছে.চিকেন চিলি পেস্ট এত্ত গ্রেভি ছিল রাইস এর মিক্স করে খেতে খুবই মজা লেগেছে...যদিও সবজায়গা এর ফ্রাইড রাইস খুব ভালো লাগেনা কিন্তু এই জায়গার রাইস আসলেই অনেক ভালো...আর চিলি পেস্ট তো ওয়াও.. কোয়ান্টিটি ২ জন মানুষের জন্য পারফেক্ট...কেউ না খেলে আসলে বুঝতে পারবেনা...এত নিট ক্লীন পরিবেশ+ সার্ভিসিং সব মিলিয়ে সত্যিই অসাধারণ লেগেছে.রেটিং- পরিবেশ -১০/১০ খাবার- ১০০/১০ সার্ভিস- ১০/১০,very good
"গ্রুপে Kacchi Darbar এর কাচ্চির রিভিউ দেখে গিয়েছিলাম সেইখানে কাচ্চি খেতে।যা ভেবেছিলাম কাচ্চিটা তার থেকে বেশি মজার ছিলোবাসমতির ঝরঝরে চাল,সফ্ট ও জুসি মাটোন এর পিস আর সাথে জালি কাবাব ও মুরগীর রোস্ট দিয়ে দুইজনে বেশ মজা করেই খেয়েছিলাম আর রিফ্রেশমেন্ট এর জন্য তাদের বাদাম সরবত টা আমার অনেক ভালো লেগেছে",good
তে সবার এত এত ভালো রিভিউ দেখে মন চাইলো যে Half &Half  Corndog টা try কর খুবই মজার ছিল  ভিতরে ভরপুর চিজ ছিল সেই লাগছে আর সাথে নিয়েছিলাম Chiken Strips এটা ও অনেক বেশি মজার ছিলো উপরে crispy আর ভিতরে জুসি ছিলো চিকেন টা আর সফট ছিলো,very good
রিভিউ দেখে আমারও খুব ইচ্ছে করছিলো  তাদের আইটেম গুলা ট্রাই করার। চলে গেলাম  তাদের ওয়ারী ব্রাঞ্চে। চারটি আইটেম ট্রাই করছিলাম। প্রতিটি আইটেম অনেক সুস্বাদু ছিল। প্রাইজ ও ছিলো বাজেট ফ্রেন্ডলি। ,good
ফেসবুকে রিভিউ দেখে চলে গেলাম  The Lobby Buffet এ। ঢুকেই ওদের ফ্লাওয়ার আর লাইটিং দেখে মন ভালো হয়ে গেলো। ১০০ আইটেম মেন্যুতে। ইন্ডিয়ান সেকশান টা খুব স্ট্রং আর মজা। ১৬ টা ডেসার্ট ট্রাই করলাম।,good
"আগে শুধু সুলতান ডাইনের কাচ্চির রিভিউ দেখতাম আর আফসোস করতাম, পুরান ঢাকা থেকে দূরে হওয়ায় ইচ্ছে হলেই যাওয়া পসিবল ছিলো না। এখন সুলতান ডাইন পুরান ঢাকায় হওয়ায় যখন খুশি গিয়ে খেয়ে আসতে পারি, আর কোন আফসোস নেই আজকেও কাচ্চি খাওয়ার ইচ্ছা হতেই চলে গেলাম সুলতান ডাইনে, অডার দিয়ার কিছুখন পরেই চলে আসলো একদম গরম গরম কাচ্চি আর দেরি না করে শুরু করলাম খাওয়া, মানে এর চেয়ে আসলেই কি কিছু মজাদার আছে? বাকি আইটেম গুলো ছিলো একদম পারফেক্ট! ",very good
"সুলতান এর প্রায় রিভিউ দেখি, আজকে চোখের সামনে পরল ,ক্ষুদাও লাগছিল তাই আর লোভ সামলাতে পারলাম না।আহা কি টেস্টি কাচ্চির গোশটা লাগছে মাত্র 439 তে Tehari 1:1 আর ৪৭৯টাকায় ১:১ কাচ্চি জাস্ট অস্থির।এত কম টাকায় এত কিছু  ,মাংস আর সাথে বড় আলু স্বাদ আরো বাড়িয়ে দেয়।টিকাগুলাও জাস্ট ওয়াও ছিল ।খাবার শেষে একটু মিষ্টিমুখ করলাম জর্দা/ফিন্নি দিয়ে ।মোট কথা সেরা একটা দিন গেল।",good
রিভিউ দেখে গিয়েছিলাম সিরাজ চুইগোশ মিরপুরে ।অনেক খুশি আমি কারণ সত্যিকারের খুলনার চুই গোশের টেস্ট আমি এইটা খেয়েই পেয়েছি।অর্ডার করার কিছুক্ষন পরেই এসে পরছে।খুব ভাললাগছে।নিজের ইচ্ছামত মাংস চয়েজ করার অপশনটা আমার কাছে বেস্ট মনে হয়েছে।#১৫০টাকা খাশির চুই।বাজারে সব কিছুর দাম অনুযায়ী চুইগোস্তের দাম খুব বেশি মনে হয়নি।ভর্তার সাথে ঘি ফ্রি অস্থির লাগছে।,good
খাবারের মান অনেক ভালো  ছিল।  মাংসের পিস গুলাে খুবই   সফট ফ্লেভার ফুল ছিলো  মোলায়েম  ছিলো মুখে নিতেই মিসে যাচ্ছিল।    মাংসের পিস পরিমান ভালো ছিলো  ১ জনের জন্য তবে ২ জন জন্য  পারফেক্ট। ৪৩৯ টাকা। সাথে ৭০ টাকা করে বোরহানি। রেটিং(৯/১০) বোরহানি টা ভাল ছিল । ,very good
"জি হ্যাঁ কী ভাবছেন, কেউ আমাকে ৫৯৯ দেয়ায় আমি এই রিভিউ করছি !মোটেও না নিজে ৫৯৯ টাকা পেইড করে সন্তুষ্ট হয়ে এই রিভিউ দেয়া আজ বুধবার যখন বাসায় বসে Bore হচ্ছিলাম,  তখন আমার উনাকে বললাম কোথাও নিয়ে যেতে কিন্তু উনি আর উনার কাজ  তাই মনটা ভীষণ খারাপ ছিল তাই বলে কি বাসায় বসে থাকা যায় ?তাই হুট করে কোন প্ল্যান ছাড়াই বন্ধুদের সাথে চলে গেলাম কাচ্চির রাজ্যে, যার অপর নাম হয়তো সবাই জানেন ! Sultan's Dine Mirpur মিরপুরে এটির নতুন ব্রাঞ্চ হওয়ায়, ধানমন্ডি বা অন্য কোথাও পাড়ি দিতে হয়নি ! যেহেতু নতুন ব্রাঞ্চ হয়েছে সেহেতু খাবারের কেমন হবে,  অন্যসব ব্রাঞ্চ থেকে স্বাদের কোন তারতম্য থাকবে নাকি সেইটা নিয়ে চিন্তিত ছিলাম  বটে। কিন্তু গিয়ে পরিবেশ ও খাবারের মান দেখে সন্তুষ্ট হওয়াই যায়। তাদের খাবার ও পরিবেশেই ছিল আভিজাত্যের ছোঁয়াতাদের খাবার নিয়ে একটা কথাই বলবো ",very good
হ্যালো আসসালামু আলাইকুম আপনারা বলতে পারেন আমি একজন ফুড লাভারঘোরাফেরা খাওয়া দাওয়া আমার একটা শখের ব্যাপার আমার ধানমন্ডিতে ম্যাক্সিমাম রেস্টুরেন্টে চেক ইন দেওয়া শেষ।আজকে  আমার দুইটা ফ্রেন্ড এবং আমি গিয়েছিলাম Olivia Dhanmondi রেস্টুরেন্ট।  Today has been a frustrating day for us আমার লাইফে এত বাজে খাবার এত বাজে সার্ভিস জীবন পাই নাইআমার টাকাগুলাই নস্ট করলাম  আমি মোটামটি অনেক জায়গাই যাই But এটা আমার লাইফ এর ১ম রিভিউ। রিভিউ টা দিতাম না আমি চাই না মানুষ এর টাকা গুলা নস্ট করুক।  আমরা নিয়েছিলাম :1: Special  ChowMin আল্লাহ এত বাজে 05/10 2: Lime Soda : 07/10  Like average  3: B.B.Q Wings: Life er Sob ceye Faltu wings kheyeci atai : 04/10 4: white cream Pasta : 07/10 Drinks : Manual 09/10 cold average cilo Bill : Niche pic diyeci Location : OLIVIA  Dhanmondi KB Square Service : 03/10 totally Faltu Service customer service na diye Adda dei Dhanmondi 1st time kono baje Restaurant pelam tarpor abr Amr khub pochonder Place:  Ranks Kb square  Totally aj ker dinta Khub krp giyece sudu gorom r ei restaurants Jonno Thanks Everyone And sorry Everyone Na pere Review ta diyeci ami ,bad
ভাইয়ের জন্মদিনের জন্য কেক কিনতে গিয়েছিলাম।  আমরা চকোলেট ব্রাউনি কেক টি সিলেক্ট করে দিই। যার দাম লেখা ছিল ৬০০ টাকা। বিল করে টাকা নেওয়ার সময় বলল ৭০০ টাকা বিল হয়েছে। ভাবলাম চোখে ভুল দেখেছিলাম। কিন্তু পেমেন্ট করে ফিরে ডিসপ্লের সামনে আবার দেখলাম ৬০০ টাকা লিখা। তখন দেখিয়ে জিজ্ঞাস করায় তারা বলল আজকে তাদের সফটওয়্যার এ ব্রাউনি কেক টা নাই। তাই এর বদলে চকলেট লেডি কেক এর বিল করে দিয়েছে যার দাম ৭০০ টাকা। আমরা বললাম যেটা নিবনা সেই কেক এর দাম দিব কেন? আবার বলল সফটওয়্যার এ নাই তাই কিছু করার নেই। বললাম ঠিকাছে কেকই নিবনা। কিছুক্ষণ কথা কাটাকাটিরর পর তারা আবার নতুন করে বিল করে ১০০ টাকা ফিরত দেয়। নতুন বিলে ঠিকই ব্রাউনি কেকের নাম দিয়ে বিল করছে। এখন সফটওয়্যার কোথা থেকে উদয় হল তা আর বুঝতে পারলাম না। সবাই কেক কিনার আগে ভালোমত বিল টা মিলিয়ে দেখে নিবেন। Tasty treat এর মত ব্র‍্যান্ড ও যদি এইরকম করে তাহলে বলার মত কিছুই থাকেনা আসলে।,bad
worst buffet I have ever Actually they r such a fraud.অনেক খারাপ ভাষা আসছে but ভদ্রতার খাতির এ বলছিনা .they serve indian cuisine..তারা জীবনে ইন্ডিয়ান খাবার খাইছে বলে মনে হয়না .pictures r there ...what they have served such a bull shit .Price -600/per head test 0/10 place-sigree,bad
